"","region","gridX","gridY","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"1","BWFA",5,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWFA","Birmingham City Centre","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","2326","1368",-1.89782,52.480739
"2","BWFB",5,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWFB","Eastside","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","3296","612",-1.884499,52.480184
"3","BWFC",4,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWFC","Southside","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","1740","1047",-1.895845,52.473767
"4","BWFD",4,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWFD","Westside","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","2210","1342",-1.911164,52.476975
"5","BWGA",1,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWGA","Bartley Green","Edgbaston","BWSG","Birmingham West","BW","Birmingham","25046","10757",-1.993501,52.435342
"6","BWGB",3,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWGB","Edgbaston","Edgbaston","BWSG","Birmingham West","BW","Birmingham","24510","9110",-1.927303,52.4615
"7","BWGC",2,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWGC","Harborne","Edgbaston","BWSG","Birmingham West","BW","Birmingham","23216","10048",-1.958945,52.461025
"8","BWGD",1,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWGD","Quinton","Edgbaston","BWSG","Birmingham West","BW","Birmingham","24079","9979",-1.988424,52.457849
"9","BWHA",5,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWHA","Aston","Ladywood East","BWSH","Birmingham West","BW","Birmingham","32003","9579",-1.896557,52.50034
"10","BWHB",5,5,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"BWHB","Highgate","Ladywood East","BWSH","Birmingham West","BW","Birmingham","5103","2185",-1.888667,52.468929
