"","region","gridX","gridY","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"1","WVKA",3,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVKA","Wolverhampton City Centre","Wolverhampton City Centre","WVSK","Wolverhampton","WV","Wolverhampton","892","400",-2.128409,52.585069
"2","WVLA",6,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLA","Bilston East","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13379","5671",-2.06806,52.560176
"3","WVLB",5,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLB","Bilston North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12101","4774",-2.075747,52.574755
"4","WVLC",3,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLC","Blakenhall","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12022","4109",-2.129013,52.566573
"5","WVLD",3,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLD","Bushbury North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11816","5039",-2.11932,52.627823
"6","WVLE",4,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLE","Bushbury South and Low Hill","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13280","4915",-2.118983,52.60747
"7","WVLF",5,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLF","East Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12523","5346",-2.095912,52.58294
"8","WVLG",4,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLG","Ettingshall","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","13741","5362",-2.102723,52.567691
"9","WVLH",4,0,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLH","Fallings Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12639","4975",-2.097914,52.614449
"10","WVLJ",2,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLJ","Graiseley","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12284","5171",-2.146501,52.576244
"11","WVLK",4,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLK","Heath Town","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","15285","6638",-2.106055,52.595862
"12","WVLL",1,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLL","Merry Hill","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12189","5203",-2.170609,52.570575
"13","WVLM",2,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLM","Oxley","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12716","5161",-2.145494,52.618435
"14","WVLN",1,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLN","Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11775","5184",-2.153107,52.588863
"15","WVLP",2,3,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLP","Penn","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12718","4941",-2.154403,52.561805
"16","WVLR",4,4,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLR","Spring Vale","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11991","4945",-2.106923,52.554016
"17","WVLS",3,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLS","St Peter's","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12198","4524",-2.139193,52.599724
"18","WVLT",1,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLT","Tettenhall Regis","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11944","4859",-2.169987,52.604339
"19","WVLW",0,2,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLW","Tettenhall Wightwick","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11300","5139",-2.181212,52.586198
"20","WVLX",6,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLX","Wednesfield North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11165","4937",-2.062393,52.613462
"21","WVLY",5,1,NA,NA,NA,NA,"clampToGround",1,1,1,NA,NA,"WVLY","Wednesfield South","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11498","4877",-2.075277,52.599178
