"","region","gridX","gridY","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"1","BEDA",16,5,"BEDA","Erdington","Erdington","BESD","Birmingham East","BE","Birmingham","22894","10272",-1.835631,52.528781
"2","BEDB",14,4,"BEDB","Kingstanding","Erdington","BESD","Birmingham East","BE","Birmingham","25480","10183",-1.870648,52.542689
"3","BEDC",15,5,"BEDC","Stockland Green","Erdington","BESD","Birmingham East","BE","Birmingham","24495","10389",-1.857955,52.521398
"4","BEDD",17,6,"BEDD","Tyburn","Erdington","BESD","Birmingham East","BE","Birmingham","25002","10202",-1.810553,52.516165
"5","BEEA",16,10,"BEEA","Hall Green","Hall Green","BESE","Birmingham East","BE","Birmingham","26106","9402",-1.844972,52.427096
"6","BEEB",14,9,"BEEB","Moseley and Kings Heath","Hall Green","BESE","Birmingham East","BE","Birmingham","25916","11113",-1.890995,52.441446
"7","BEEC",15,9,"BEEC","Sparkbrook","Hall Green","BESE","Birmingham East","BE","Birmingham","32166","9233",-1.880745,52.460187
"8","BEED",16,9,"BEED","Springfield","Hall Green","BESE","Birmingham East","BE","Birmingham","31283","9211",-1.859955,52.444235
"9","BEFA",16,8,"BEFA","Bordesley Green","Hodge Hill","BESF","Birmingham East","BE","Birmingham","34108","9295",-1.837045,52.475553
"10","BEFB",17,7,"BEFB","Hodge Hill","Hodge Hill","BESF","Birmingham East","BE","Birmingham","27652","9548",-1.817919,52.499588
"11","BEFC",20,8,"BEFC","Shard End","Hodge Hill","BESF","Birmingham East","BE","Birmingham","26686","11555",-1.775379,52.488465
"12","BEFD",16,6,"BEFD","Washwood Heath","Hodge Hill","BESF","Birmingham East","BE","Birmingham","33268","9091",-1.844185,52.489686
"13","BEGA",15,3,"BEGA","Sutton Four Oaks","Sutton Coldfield","BESG","Birmingham East","BE","Birmingham","23970","10134",-1.8407,52.583527
"14","BEGB",17,5,"BEGB","Sutton New Hall","Sutton Coldfield","BESG","Birmingham East","BE","Birmingham","22011","9272",-1.780078,52.538652
"15","BEGC",16,4,"BEGC","Sutton Trinity","Sutton Coldfield","BESG","Birmingham East","BE","Birmingham","25561","10771",-1.803743,52.569625
"16","BEGD",15,4,"BEGD","Sutton Vesey","Sutton Coldfield","BESG","Birmingham East","BE","Birmingham","23349","9621",-1.848468,52.551407
"17","BEHA",17,9,"BEHA","Acocks Green","Yardley","BESH","Birmingham East","BE","Birmingham","29056","11318",-1.826534,52.443755
"18","BEHB",19,8,"BEHB","Sheldon","Yardley","BESH","Birmingham East","BE","Birmingham","21530","9091",-1.778275,52.461779
"19","BEHC",17,8,"BEHC","South Yardley","Yardley","BESH","Birmingham East","BE","Birmingham","29912","11023",-1.828558,52.462043
"20","BEHD",18,7,"BEHD","Stechford and Yardley North","Yardley","BESH","Birmingham East","BE","Birmingham","26119","10013",-1.799919,52.478277
"21","BWFA",14,7,"BWFA","Birmingham City Centre","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","2326","1368",-1.89782,52.480739
"22","BWFB",15,7,"BWFB","Eastside","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","3296","612",-1.884499,52.480184
"23","BWFC",14,8,"BWFC","Southside","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","1740","1047",-1.895845,52.473767
"24","BWFD",13,8,"BWFD","Westside","Birmingham City Centre","BWSF","Birmingham West","BW","Birmingham","2210","1342",-1.911164,52.476975
"25","BWGA",9,9,"BWGA","Bartley Green","Edgbaston","BWSG","Birmingham West","BW","Birmingham","25046","10757",-1.993501,52.435342
"26","BWGB",12,8,"BWGB","Edgbaston","Edgbaston","BWSG","Birmingham West","BW","Birmingham","24510","9110",-1.927303,52.4615
"27","BWGC",11,8,"BWGC","Harborne","Edgbaston","BWSG","Birmingham West","BW","Birmingham","23216","10048",-1.958945,52.461025
"28","BWGD",10,9,"BWGD","Quinton","Edgbaston","BWSG","Birmingham West","BW","Birmingham","24079","9979",-1.988424,52.457849
"29","BWHA",14,6,"BWHA","Aston","Ladywood East","BWSH","Birmingham West","BW","Birmingham","32003","9579",-1.896557,52.50034
